value,B.Code,table,field,table_alt,field_alt,master_tab,F.Category,issue_addressed,addressed_by_whom,notes
Pigeon pea,AC0063,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Pigeon pea ,NM0042,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Plant & animal based (unspecified),NN0548,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Plant-based (unspecified),NN0548,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Point placed,AC0004,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Polymer coated,CJ0071,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Potassium Chloride,AC0023/AC0026/JO0016.1/JO0016.2/JO0018/NN0425/NN0429/NN0433/JO0023/NN0435/AC0042/HK0111/JO0030/CJ0037/DM0026/DM0028/NN0442/JO0047/JO0050/SP0018/SP0020/SP0024/AC0111/AC0115/AC0119/AC0120/AC0123/AC0125/AC0128/AC0135/AC0139/CJ0072/CJ0086/JO0068/JO0069/JO0080/JO0084/JO0087/JO0091/NM0035/NM0062/NM0070/NM0071/NN0465/NN0470/SP0025/AC0148/JO0062/JO0083/JO0092/AC0154/AC0156/CJ0102/CJ0117/CJ0152/NN0474/SP0039/SP0040/SP0041/CJ0187/DM0011/DM0024/HK0242/JO0179/JO0199/JS0102/JS0104/JS0389/JS0411/LM0189/NN0026/NN0498/NN0514.1/NN0514.2/SA0005/SA0012/SA0024/SA0025/SA0032/SA0046/SA0047/SA0051/SA0052/SA0055/SA0061/NN0023/NN0410/AC0013,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Potassium Nitrate,CJ0019,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Potassium Sulphate,CJ0042/AC0113/CJ0104/CJ0145/CJ0156/CJ0172/CJ0173/CJ0174/JO0109/JO0121/JO0141/JO0148/JO0153/JO0174/JO0205/JO0206/JS0039/JS0054/NM0125/NN0497/NN0523/NN0554/SP0065,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Poultry Litter Lot 1,AC0147,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Poultry Litter Lot 2,AC0147,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Poultry Litter Lot 3,AC0147,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Poutry Farmyard Manure,NN0410,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Pressmud,SA0006,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Rabbit manure,CJ0173,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Rice Straw,CJ0170,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Ridge Applied,NM0028,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Rock Phosphate (Ogun),NM0039,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Rock Phosphate (Tilemsi),NN0003,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Rock Superphosphate,CJ0156,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Root dipping,AC0172,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Sewage Sludge,SP0018/AC0120,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Sheep Manure ,JO0048/NN0526,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Sheep leachate,AC0137,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Single Super Phosphate,AC0023/AC0026/JO0016.1/JO0016.2/AC0036/CJ0025/NM0015/NM0017/HK0111/CJ0041/DM0028/JO0041/JO0047/SP0020/AC0119/JO0084/NM0035/NM0071/NN0465/NN0470/SP0025/AC0148/JO0092/AC0156/AC0168/CJ0120/CJ0143/CJ0156/JO0121/JO0141/AF0002/AF0006/CJ0187/HK0002/HK0106/HK0157/HK0161.1/HK0161.2/HK0242/JO0205/JS0040.2/JS0087/JS0307/JS0334.1/JS0334.2/JS0389/JS0433/LM0061/LM0075.1/LM0075.2/LM0075.3/LM0081/LM0097/LM0108/LM0321/NM0080/NM0111/NM0123/NN0026/NN0040/NN0041/NN0049/NN0067/NN0070.1/NN0070/NN0132/NN0485.1/NN0485.2/NN0503/NN0553/SA0006/SA0016/SA0019/SA0035/SA0039/SA0042/SA0045/SA0048/SA0050/SA0051/SA0052/SA0053/SA0055/SA0060/SA0061/SA0062/SA0064/AC0001/AC0003/CJ0003/NN0023/AC0005/CJ0006,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Sodium molybdate,NN0442,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Sorghum Straw ,JS0054,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Soybean straw,CJ0104,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
Spent Mushroom Waste,NM0073,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Spot application,CJ0146,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Spraying,CJ0129,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Straw ,JS0039,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Strip application,NM0084,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Sukphuric Acid,CJ0187,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Sulphuric Acid,CJ0187,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Super Phosphate,DM0026/JO0042/AC0093/CJ0123/LM0074/NN0520/SA0059.1,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Super grow,NM0074,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Suphur,NN0533,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Surface-banded,AC0024,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Swine wastewater,CJ0103,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
TSP,JO0162,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Tamarindus indica L.,JO0008,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Terra preta,CJ0138,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Tithonia diversifolia leaves,JO0044,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Top dressing,AC0014/AC0015/AC0017/AC0018/AC0020/AC0022/JO0016.1/JO0016.2/AC0030.2/NM0016/AC0005,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Triple Super Phosphate,SP0006/AC0020/CJ0014/JO0018/NM0009/NN0425/CJ0024/NN0438/AC0040/AC0042/AC0046/JO0030/NN0440/AC0061/CJ0030/CJ0032/CJ0033/CJ0038/CJ0039/CJ0040/DM0027/JO0029/NN0441/NN0442/JO0050/SP0018/SP0024/AC0077.1/AC0077.2/AC0077.3/AC0088/AC0103/AC0111/AC0115/AC0120/AC0124/AC0125/AC0128/AC0139/CJ0060/CJ0063/CJ0064/CJ0067/CJ0072/CJ0074/CJ0076/CJ0086/JO0055/JO0068/JO0087/JO0089/NM0033/NM0071/NM0077/NN0451/NN0458/NN0462/NN0463/NN0467/NN0468/JO0062/JO0083/JO0093/JO0095/AC0154/AC0172/CJ0102/CJ0111/CJ0117/CJ0119/CJ0120/CJ0126/CJ0139/CJ0144/CJ0152/CJ0161/CJ0175/JO0001/JO0096/JO0109/JO0114/JO0119/JO0123/JO0130/JO0149/JO0166/NN0474/SP0039/SP0040/SP0046/CJ0187/CJ0192/DM0011/DM0014/DM0024/HK0002/HK0161.1/HK0161.2/HK0261/JO0198/JO0199/JS0039/JS0054/JS0199/JS0234/JS0260/JS0278/JS0279/JS0411/LM0075.1/LM0075.2/LM0165/LM0168/LM0176.3/LM0186/LM0189/LM0194/LM0265/NM0081/NM0091/NM0126/NN0003/NN0240/NN0247/NN0261/NN0486/NN0488/NN0498/NN0500/NN0514.1/NN0514.2/NN0518/NN0522/NN0527/NN0554/NN0559.1/NN0559.2/NN0559.3/NN0559.4/NN0561/SA0007/JO0003/NM0002/NM0004/NN0410/AC0009/JO0007/AC0011/AC0013/CJ0008/SP0002,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Triple calcium superphosphate,AC0135,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Triple super phosphate,CJ0150.1,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Triple superphosphate,JO0134/JO0136,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Unspecified,AC0039,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Unspecified,AC0039/DM0018,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Unspecified,JO0017/NN0429/AC0031/JO0027/JO0031/JO0032/JO0035/JO0037/NM0020/JO0051/AC0094/JO0053/JO0059/JO0065/JO0068/JO0069/JO0071/JO0073/JO0074/JO0075/JO0077/JO0078/JO0079/JO0080/JO0084/JO0085/JO0086/JO0087/JO0088/JO0090/JO0091/SP0025/AC0145/AC0146/JO0011/JO0062/JO0083/JO0092/JO0094/JO0095/AC0150/JO0001/JO0097/JO0098/JO0100/JO0102/JO0103/JO0104/JO0106/JO0107/JO0109/JO0114/JO0115/JO0116/JO0118/JO0119/JO0120/JO0121/JO0122/JO0123/JO0126/JO0127/JO0128/JO0129/JO0130/JO0132/JO0134/JO0136/JO0138/JO0141/JO0142/JO0143/JO0144/JO0145/JO0146/JO0147/JO0149/JO0150/JO0152/JO0153/JO0156/JO0158/JO0159/JO0161/JO0162/JO0165/JO0166/JO0167/JO0169/JO0173/JO0174/AF0005/AF0006/HK0106/HK0242/HK0255.2/HK0268/HK0269/HK0313/JO0180/JO0181/JO0184/JO0187/JO0188/JO0190/JO0191/JO0192/JO0193/JO0194/JO0195/JO0196/JO0198/JO0199/JO0200/JO0201/JO0202/JO0204/JO0205/JO0206/JO0207/JO0208/JO0210/JS0006.1/JS0006.2/JS0040.1/JS0070/JS0071/JS0199/JS0234/JS0260/JS0278/JS0283/JS0307/JS0389/JS0433/LM0074/LM0078.1/LM0078.2/LM0081/LM0082/LM0168/LM0265/NM0138/NN0026/NN0040/NN0049/NN0132/NN0187/NN0296/NN0347/NN0489/SA0001/SA0004/SA0005/SA0007/SA0008/SA0009/SA0011/SA0012/SA0014/SA0019/SA0022/SA0023/SA0024/SA0025/SA0032/SA0033/SA0040/SA0041/SA0043/SA0047/SA0048/SA0050/SA0051/SA0052/SA0054.1/SA0054.2/SA0055/SA0058/SA0061/SA0066/JO0163/JO0003/NM0004/JO0002/JO0006/JO0007/CJ0008/CJ0009,Fert.Method,F.Source,F.Method,M.Source,lookup_levels,,FALSE,"",""
Unspecified,JO0104,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Unspecified ,HK0106/AC0008,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
Unspecified ,JO0020/DM0021,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Unspecified Biochar,CJ0082/JO0148/NN0558,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Unspecified Manure y1,NM0101,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Unspecified Manure y2,NM0101,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Unspecified Manure y3,NM0101,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Unspecified Manure y4,NM0101,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Unspecified biochar,AC0031,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
Urea,AC0014/AC0015/AC0017/CJ0011/DM0006/NM0005/NN0422/SP0006/AC0018/AC0020/AC0021/AC0023/AC0024/AC0029/JO0015.1/JO0015.2/NM0013/NN0425/NN0426/NN0427/NN0430/NN0432/NN0433/AC0030.2/CJ0018/CJ0019/NM0012/AC0036/CJ0025/CJ0027/DM0021/JO0023/NM0016/NM0017/NN0435/JO0024/AC0040/CJ0029/JO0025/SP0013/AC0043/AC0045/AC0048/AC0050/AC0052/AC0053/AC0056/AC0058/NN0439/NN0440/AC0060/CJ0030/CJ0032/CJ0033/CJ0037/DM0026/DM0027/JO0027/JO0028/JO0032/JO0035/NM0020/NN0441/NN0442/SP0017/AC0065/AC0067/AC0070/AC0072/CJ0047/JO0040/NN0448/NN0452/SP0018/SP0019/SP0020/SP0024/AC0080/AC0081/AC0083/AC0084/AC0090/AC0096/AC0102/AC0103/AC0109/AC0115/AC0116/AC0119/AC0120/AC0121/AC0124/AC0125/AC0128/AC0134/AC0139/AC0142/CJ0053/CJ0055/CJ0060/CJ0061/CJ0063/CJ0071/CJ0072/CJ0073/CJ0074/CJ0075/CJ0076/CJ0079/CJ0080/CJ0081/CJ0085/CJ0086/CJ0087/CJ0088/CJ0089/CJ0094/JO0052/JO0053/JO0055/JO0061/JO0068/JO0074/JO0080/JO0085/JO0086/JO0087/JO0089/JO0090/NM0022/NM0028/NM0032/NM0035/NM0036/NM0037/NM0039/NM0040/NM0041/NM0042/NM0043/NM0044/NM0045/NM0046/NM0049/NM0059/NM0060/NM0062/NM0070/NM0071/NM0076/NN0454/NN0458/NN0459/NN0460/NN0462/NN0463/NN0465/NN0468/NN0469/SP0025/SP0029/AC0145/AC0146/AC0149/JO0062/JO0083/JO0093/SP0035/SP0036/AC0150/AC0151/AC0154/AC0155/AC0158/AC0161/AC0173/CJ0101/CJ0102/CJ0104/CJ0105/CJ0106/CJ0107/CJ0108/CJ0109/CJ0111/CJ0113/CJ0115/CJ0122/CJ0123/CJ0129/CJ0131/CJ0132/CJ0133/CJ0138/CJ0139/CJ0143/CJ0144/CJ0152/CJ0153/CJ0156/CJ0161/CJ0167/CJ0170/CJ0171/CJ0174/CJ0177/JO0096/JO0102/JO0103/JO0107/JO0108/JO0109/JO0111/JO0114/JO0115/JO0119/JO0121/JO0123/JO0129/JO0134/JO0135/JO0136/JO0137/JO0138/JO0142/JO0148/JO0149/JO0176/NN0473/NN0474/NN0475/NN0477/NN0478/SP0037/SP0039/SP0040/SP0041/SP0048/AF0002/CJ0150.1/CJ0184/CJ0185/CJ0186/CJ0187/CJ0190/CJ0192/CJ0193/CJ0199/CJ0201/CJ0203/CJ0204/DM0011/DM0014/DM0023/DM0024/DM0025/HK0002/HK0157/HK0161.1/HK0161.2/HK0166/HK0242/HK0261/JO0179/JO0197/JO0198/JO0199/JO0200/JO0201/JO0202/JO0204/JO0206/JO0210/JS0039/JS0040.1/JS0041/JS0054/JS0102/JS0104/JS0248/JS0260/JS0278/JS0279/JS0334.1/JS0334.2/JS0411/LM0075.1/LM0075.2/LM0075.3/LM0108/LM0165/LM0194/LM0321/NM0084/NM0085/NM0102/NM0104/NM0105/NM0111/NM0113/NM0116/NM0121.1/NM0121.2/NM0124/NM0126/NM0127/NM0128/NM0130/NM0138/NN0003/NN0026/NN0040/NN0067/NN0070.1/NN0070/NN0187/NN0232/NN0240/NN0261/NN0481/NN0482/NN0483/NN0486/NN0489/NN0494/NN0496/NN0498/NN0502/NN0503/NN0507/NN0509/NN0514.1/NN0514.2/NN0517/NN0518/NN0520/NN0522/NN0524/NN0527/NN0535/NN0537/NN0538/NN0543/NN0554/NN0559.1/NN0559.2/NN0559.3/NN0559.4/NN0560/NN0561/SA0005/SA0006/SA0010/SA0012/SA0013/SA0016/SA0019/SA0022/SA0023/SA0024/SA0025/SA0032/SA0033/SA0035/SA0036/SA0039/SA0040/SA0042/SA0043/SA0045/SA0046/SA0047/SA0048/SA0050/SA0051/SA0052/SA0053/SA0055/SA0056/SA0058/SA0059.1/SA0060/SA0061/SA0062/SA0064/SA0065/SA0066/SP0060/AC0001/AC0002/AC0003/AC0004/JO0003/JO0004/NM0002/NM0004/NN0023/NN0410/AC0008/AC0009/CJ0005/JO0002/JO0005/JO0006/NN0411/NN0415/AC0011/AC0013/CJ0008/JO0012/NN0417/SP0002,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Urea ,NN0429,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Urea formaldehyde,JO0121,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Urine,NN0049,Fert.Method,F.Type,,,fert,Manure,FALSE,"",""
Water Diluted,NM0084/NN0484,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Water melon peels,CJ0151,Fert.Method,F.Type,,,fert,Biosolid,FALSE,"",""
Yeast,JO0205/JO0206,Fert.Method,F.Type,,,fert,Organic_Other,FALSE,"",""
Zinc,NN0533,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Zinc Sulfate Heptahydrate,CJ0107,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Zinc Sulphate,NM0071,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Zinc oxide,CJ0126/CJ0152,Fert.Method,F.Type,,,fert,MicroNutrient,FALSE,"",""
Zinc oxide,DM0006,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
Zinc sulfate,NN0467,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
coffee husks,CJ0146,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
coffee husks,NN0410,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
g/bunch,NN0551,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
g/m,AC0023/JO0021,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
hill placement,NN0041,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
kg ,NM0071,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
kg/m,AC0023,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
kg/m3,CJ0103,Fert.Comp,F.K.Unit,Soil.Out,Soil.K.Unit,lookup_levels,,FALSE,"",""
kg/m3,CJ0103,Fert.Comp,F.N.Unit,Soil.Out,Soil.N.Unit,lookup_levels,,FALSE,"",""
kg/m3,CJ0103,Fert.Comp,F.P.Unit,Soil.Out,Soil.N.Unit,lookup_levels,,FALSE,"",""
l/plant,JO0021,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
mM,JO0199,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
market & abattoir wastes,NM0031,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
mg/dm3,NM0067,Fert.Comp,F.K.Unit,Soil.Out,Soil.K.Unit,lookup_levels,,FALSE,"",""
ml/plant,NM0019,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
mono calcium phosphate,CJ0104,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
palm kernel cake,CJ0181,Fert.Method,F.Type,,,fert,Compost,FALSE,"",""
paw-paw peels,CJ0151,Fert.Method,F.Type,,,fert,Biosolid,FALSE,"",""
ppm,CJ0165,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
ppm/feddan,NM0132,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
sakoa,NN0551,Fert.Method,F.Type,,,fert,Biochar,FALSE,"",""
spot application,NN0463,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
sulfate of ammonium,NM0003,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
thermophosphate,CJ0119,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
urea,JO0162,Fert.Method,F.Type,,,fert,Inorganic,FALSE,"",""
