value,B.Code,table,field,table_alt,field_alt,master_tab,issue_addressed,addressed_by_whom,notes
"
Instituto Federal do Paraná (IFPR) - Campus Palmas",CJ0120,Site.Out,Site.ID,,,site_list,FALSE,"",""
" Tanzania Coffee Research Institute farm, Lyamungo",CJ0111,Site.Out,Site.ID,,,site_list,FALSE,"",""
(Center for Agricultural Sciences) of the Universidade Federal deRoraima,JO0062,Site.Out,Site.ID,,,site_list,FALSE,"",""
"ARC,  Al Sharqia Governorate. Site A",NN0511,Site.Out,Site.ID,,,site_list,FALSE,"",""
"ARC,  Al Sharqia Governorate. Site B",NN0511,Site.Out,Site.ID,,,site_list,FALSE,"",""
"AREX Training Centre farm, Domboshava",HK0306.1/HK0306.2/CJ0001,Site.Out,Site.ID,,,site_list,FALSE,"",""
"ATVET College, Agarfa",CJ0183,Site.Out,Site.ID,,,site_list,FALSE,"",""
"AVTC farm, Otobi",NN0430,Site.Out,Site.ID,,,site_list,FALSE,"",""
Abii,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Abr,SP0043,Site.Out,Site.End.S1,Site.Out,Site.Seasons,lookup_levels,FALSE,"",""
Ado Ekiti Exp2,CJ0004,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Africa RISING technology park, Bougouni",JO0065,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Africa RISING technology park, Koutiala",JO0065,Site.Out,Site.ID,,,site_list,FALSE,"",""
Agricultural Research Institute of Paraná,NM0029,Site.Out,Site.ID,,,site_list,FALSE,"",""
Agricultural School of Jundiai,NM0083,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Agriculture Research Farm of Banaras Hindu University, Varanasi",SA0043,Site.Out,Site.ID,,,site_list,FALSE,"",""
Alemaya University Hirna Station - Ust,JS0279/NN0240,Site.Out,Site.ID,,,site_list,FALSE,"",""
Alemaya University Hirna Station -Pel,JS0279/NN0240,Site.Out,Site.ID,,,site_list,FALSE,"",""
Alemaya University Hirna Station B,JS0260/JS0278,Site.Out,Site.ID,,,site_list,FALSE,"",""
Areka Agricultural Research Centre,NM0070,Site.Out,Site.ID,,,site_list,FALSE,"",""
Arri,NN0463,Site.Out,Site.ID,,,site_list,FALSE,"",""
Ashaiman Irrigation Development Center,JO0106,Site.Out,Site.ID,,,site_list,FALSE,"",""
August,AC0072,Site.Out,Site.Start.S1,Site.Out,Site.Seasons,lookup_levels,FALSE,"",""
August,NN0482,Site.Out,Site.End.S1,Site.Out,Site.Seasons,lookup_levels,FALSE,"",""
Bako ARC,NM0127,Site.Out,Site.ID,,,site_list,FALSE,"",""
Bako Agricultural Research Center,CJ0007,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Balazo station, Desert Research Center, Experimental farm",NN0506,Site.Out,Site.ID,,,site_list,FALSE,"",""
Bangladesh,SA0007/SA0011/SA0014/SA0056/SA0060,Site.Out,Country,,,countries,FALSE,"",""
"Bangladesh Rice Research Institute, (BRRI) Gazipur",SA0056,Site.Out,Site.ID,,,site_list,FALSE,"",""
Berekum-station,NN0559.1,Site.Out,Site.ID,,,site_list,FALSE,"",""
Botucatu-ENT,CJ0097,Site.Out,Site.ID,,,site_list,FALSE,"",""
Botucatu-NNT,CJ0097,Site.Out,Site.ID,,,site_list,FALSE,"",""
Botucatu_B,JO0083,Site.Out,Site.ID,,,site_list,FALSE,"",""
Botucatu_C,JO0083,Site.Out,Site.ID,,,site_list,FALSE,"",""
Bule Agricultural Research Sub Center,NN0535,Site.Out,Site.ID,,,site_list,FALSE,"",""
Bulidi,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Bulindi,CJ0008,Site.Out,Site.ID,,,site_list,FALSE,"",""
"CIMMYT, El Batán",AC0021,Site.Out,Site.ID,,,site_list,FALSE,"",""
"CIMMYT, Harare",NN0516,Site.Out,Site.ID,,,site_list,FALSE,"",""
"CSIR, Manga",CJ0166,Site.Out,Site.ID,,,site_list,FALSE,"",""
CSIR-CRI-Aiyinasi Ellembelle,JO0146,Site.Out,Site.ID,,,site_list,FALSE,"",""
CSIR-CRI-Ehiamadwen Jomoro,JO0146,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Campus de Ciencias Agrarias’ of the Universidade Federal do Vale do Sao Francisco, Petrolina- Caatinga",JO0070,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Campus de Ciencias Agrarias’ of the Universidade Federal do Vale do Sao Francisco, Petrolina-Fallow",JO0070,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Central Laboratory for Agricultural Climate (CLAC), Agriculture Research Center (ARC), Dokki",JO0164,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Centro Agronómico Tropical de Investigación y Enseñanza (CATIE), Turrialba",AC0113,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Centro de Investigaciones Agricolas del Noroeste, CIANO",AC0116,Site.Out,Site.ID,,,site_list,FALSE,"",""
Chepkanga,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Chitedze ARS (LT CA Trial),JO0015.2/JO0005,Site.Out,Site.ID,,,site_list,FALSE,"",""
Cinzana ARS_clay,NN0003,Site.Out,Site.ID,,,site_list,FALSE,"",""
Cinzana ARS_loamy,NN0003,Site.Out,Site.ID,,,site_list,FALSE,"",""
Coffee Institute of Costa Rica (Icafé),DM0024,Site.Out,Site.ID,,,site_list,FALSE,"",""
Damongo-station,NN0559.1,Site.Out,Site.ID,,,site_list,FALSE,"",""
Dareda,NN0463,Site.Out,Site.ID,,,site_list,FALSE,"",""
Desert Research Center (D.R.C)-Agricultural Experiment Station,JO0097,Site.Out,Site.ID,,,site_list,FALSE,"",""
Domboshawa DCT,HK0294,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Domboshawa, ICRAF",HK0294,Site.Out,Site.ID,,,site_list,FALSE,"",""
"E3, Lamto Natural Reserve",AC0003,Site.Out,Site.ID,,,site_list,FALSE,"",""
"EMEPA, Lagoa Seca",NM0063,Site.Out,Site.ID,,,site_list,FALSE,"",""
Ebolowa,NM0024,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Embrapa
Agropecuária Oeste",AC0022,Site.Out,Site.ID,,,site_list,FALSE,"",""
Embrapa Cerrados,AC0088,Site.Out,Site.ID,,,site_list,FALSE,"",""
Embrapa Milho e Sorgo experimental station ,CJ0018,Site.Out,Site.ID,,,site_list,FALSE,"",""
Embu,NN0261,Site.Out,Site.ID,,,site_list,FALSE,"",""
Embu ,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Ex-Hacienda El Copal, Universidad de Guanajuato in Irapuato, Guanajuato",CJ0051,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Experimental Field  of University of Namibia, Ogongo Campus ",JO0076,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Experimental Field of University of Namibia, Ogongo Campus ",CJ0068,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Experimental Station of the Faculty of Desert and Environmental Agriculture, Matrouh University",SP0065,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Experimental field of Kwara State University, Malete",NM0090,Site.Out,Site.ID,,,site_list,FALSE,"",""
"FOHCREC, Kade S2",CJ0040,Site.Out,Site.ID,,,site_list,FALSE,"",""
"FUT, Akure-Sandy clay loam",CJ0121,Site.Out,Site.ID,,,site_list,FALSE,"",""
"FUT, Akure-clay loam",CJ0121,Site.Out,Site.ID,,,site_list,FALSE,"",""
"FUTO Teaching and Research Farm, Owerri_A",NN0457,Site.Out,Site.ID,,,site_list,FALSE,"",""
"FUTO Teaching and Research Farm, Owerri_B",NN0457,Site.Out,Site.ID,,,site_list,FALSE,"",""
Farakoba,NN0261,Site.Out,Site.ID,,,site_list,FALSE,"",""
Federal University of Santa Maria Frederico Westphalen,NN0437,Site.Out,Site.ID,,,site_list,FALSE,"",""
Fenotselam Research Center,AC0043,Site.Out,Site.ID,,,site_list,FALSE,"",""
Forifori-station,NN0559.1,Site.Out,Site.ID,,,site_list,FALSE,"",""
Gemmeiza Agricultural Research Station,JO0148,Site.Out,Site.ID,,,site_list,FALSE,"",""
Ghana,CJ0089,Site.Out,Site.Admin,,,lookup_levels,FALSE,"",""
Golden Valley Agricultural Trust-Chisamba-15,JO0057,Site.Out,Site.ID,,,site_list,FALSE,"",""
Golden Valley Agricultural Trust-Chisamba-15-Out,JO0057,Site.Out,Site.ID,,,site_list,FALSE,"",""
Golden Valley Agricultural Trust-Chisamba-8,JO0057,Site.Out,Site.ID,,,site_list,FALSE,"",""
Golden Valley Agricultural Trust-Chisamba-8-Out,JO0057,Site.Out,Site.ID,,,site_list,FALSE,"",""
Goromonzi district-A,JO0042,Site.Out,Site.ID,,,site_list,FALSE,"",""
Goromonzi district-B,JO0042,Site.Out,Site.ID,,,site_list,FALSE,"",""
Grouton farm-CT,JO0053,Site.Out,Site.ID,,,site_list,FALSE,"",""
Grouton farm-NT,JO0053,Site.Out,Site.ID,,,site_list,FALSE,"",""
Grouton farm-RT,JO0053,Site.Out,Site.ID,,,site_list,FALSE,"",""
Gunegal Research Farm,SA0045,Site.Out,Site.ID,,,site_list,FALSE,"",""
Gunegal Research Farm-II,SA0045,Site.Out,Site.ID,,,site_list,FALSE,"",""
"IAR, Minjibir 2014",CJ0123,Site.Out,Site.ID,,,site_list,FALSE,"",""
"IAR, Minjibir 2015",CJ0123,Site.Out,Site.ID,,,site_list,FALSE,"",""
"ICAR –Indian Agricultural Research Institute, Dehli",SA0047,Site.Out,Site.ID,,,site_list,FALSE,"",""
ICAR-Experimental Farm,SA0032,Site.Out,Site.ID,,,site_list,FALSE,"",""
"ICRISAT, Sadore Exp 1",NM0121.1,Site.Out,Site.ID,,,site_list,FALSE,"",""
"ICRISAT, Sadore Exp 2",NM0121.1,Site.Out,Site.ID,,,site_list,FALSE,"",""
"IITA, Ibadan-3",AF0007.3,Site.Out,Site.ID,,,site_list,FALSE,"",""
"IITA, Ibadan-4",AF0007.4,Site.Out,Site.ID,,,site_list,FALSE,"",""
"IITA, Ibadan-5",AF0007.5,Site.Out,Site.ID,,,site_list,FALSE,"",""
"INERA, Saria - Ferric Lixisols",NN0525,Site.Out,Site.ID,,,site_list,FALSE,"",""
"INERA, Saria - Petric Plinthosols",NN0525,Site.Out,Site.ID,,,site_list,FALSE,"",""
"INERA, Saria - Pisoplinthic Petric Plinthosols",NN0525,Site.Out,Site.ID,,,site_list,FALSE,"",""
"ISRA, Nioro du Rip- 2015",NN0473,Site.Out,Site.ID,,,site_list,FALSE,"",""
"ISRA, Nioro du Rip- 2016",NN0473,Site.Out,Site.ID,,,site_list,FALSE,"",""
"ISRA, Sinthiou Maleme- 2015",NN0473,Site.Out,Site.ID,,,site_list,FALSE,"",""
"ISRA, Sinthiou Maleme- 2016",NN0473,Site.Out,Site.ID,,,site_list,FALSE,"",""
Ijaci (FAEPE),JO0079,Site.Out,Site.ID,,,site_list,FALSE,"",""
Ilonga ,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Impala,NN0261,Site.Out,Site.ID,,,site_list,FALSE,"",""
India,SA0004/SA0005/SA0006/SA0008/SA0010/SA0012/SA0013/SA0016/SA0017/SA0019/SA0022/SA0023/SA0024/SA0025/SA0028/SA0032/SA0033/SA0035/SA0036/SA0037/SA0038/SA0039/SA0040/SA0041/SA0042/SA0043/SA0045/SA0045/SA0045/SA0046/SA0047/SA0048/SA0048/SA0048/SA0048/SA0048/SA0048/SA0050/SA0052/SA0053/SA0053/SA0053/SA0054.1/SA0054.1/SA0054.2/SA0054.2/SA0055/SA0057/SA0058/SA0059.1/SA0059.2/SA0059.3/SA0061/SA0064/SA0065/SA0066/SA0051,Site.Out,Country,,,countries,FALSE,"",""
India ,SA0062,Site.Out,Country,,,countries,FALSE,"",""
"Indian Institute of Soil Science, Bhopal",SA0019/SA0050,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Institute of Agricultural Research (IAR), Zaria",CJ0002,Site.Out,Site.ID,,,site_list,FALSE,"",""
Isinya,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Ivory station,NM0101,Site.Out,Site.ID,,,site_list,FALSE,"",""
"JKUAT, Thika, Cambisol",AC0033,Site.Out,Site.ID,,,site_list,FALSE,"",""
"JKUAT, Thika, Vertisol",AC0033,Site.Out,Site.ID,,,site_list,FALSE,"",""
"KALRO, Embu",DM0014,Site.Out,Site.ID,,,site_list,FALSE,"",""
"KALRO, Njoro",AC0012,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Kabare, DRC",CJ0110,Site.Out,Site.ID,,,site_list,FALSE,"",""
Kabete,NN0261,Site.Out,Site.ID,,,site_list,FALSE,"",""
Kabuku,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Kabula,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Kaguru,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Kakamega   ,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Kapchorwa,CJ0008,Site.Out,Site.ID,,,site_list,FALSE,"",""
Kasisi Agricultural Training Center-22,JO0057,Site.Out,Site.ID,,,site_list,FALSE,"",""
Kasisi Agricultural Training Center-22-Out,JO0057,Site.Out,Site.ID,,,site_list,FALSE,"",""
Kiboko  ,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Kirinyaga,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Kitale  ,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Kobo on staion ,CJ0088,Site.Out,Site.ID,,,site_list,FALSE,"",""
Kocholia,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Kwadaso-station,NN0559.1,Site.Out,Site.ID,,,site_list,FALSE,"",""
Lageado Experimental Farm of the UNESP,SP0024,Site.Out,Site.ID,,,site_list,FALSE,"",""
Lageado Experimental Farm-Universidade Estadual Paulista-Botucatu,DM0021,Site.Out,Site.ID,,,site_list,FALSE,"",""
Lavras (DAG),JO0079,Site.Out,Site.ID,,,site_list,FALSE,"",""
Lavras (DBI),JO0079,Site.Out,Site.ID,,,site_list,FALSE,"",""
Linthipe,JO0005,Site.Out,Site.ID,,,site_list,FALSE,"",""
Location,NN0479,Site.Out,Site.Admin,,,lookup_levels,FALSE,"",""
Luve Experimental Station,JO0116,Site.Out,Site.ID,,,site_list,FALSE,"",""
Magaria,JO0134,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Makerere University ARI, Kabanyolo. 2018 site",NN0423,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Makerere University ARI, Kabanyolo. 2019 site",NN0423,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Makoka ARS, Zomba, MZ12",DM0008,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Makoka ARS, Zomba, MZ21",DM0008,Site.Out,Site.ID,,,site_list,FALSE,"",""
Mampong-station,NN0559.1,Site.Out,Site.ID,,,site_list,FALSE,"",""
March,CJ0039,Site.Out,Site.Start.S1,Site.Out,Site.Seasons,lookup_levels,FALSE,"",""
Marima,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Markos University Research and demonstration site,",JO0138,Site.Out,Site.ID,,,site_list,FALSE,"",""
Mbeere,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Metema,JO0101,Site.Out,Site.ID,,,site_list,FALSE,"",""
Mixteca,SP0007,Site.Out,Site.ID,,,site_list,FALSE,"",""
Mlangarini,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Msekera RS 91-3,HK0261,Site.Out,Site.ID,,,site_list,FALSE,"",""
Msekera RS 92-3,HK0261,Site.Out,Site.ID,,,site_list,FALSE,"",""
Mtwapa  ,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
"NaCORI, Mukono",SP0003,Site.Out,Site.ID,,,site_list,FALSE,"",""
"NaCRRI, Namulonge. F",NN0410,Site.Out,Site.ID,,,site_list,FALSE,"",""
"NaCRRI, Namulonge.C",NN0410,Site.Out,Site.ID,,,site_list,FALSE,"",""
"NaCRRI, Namulonge.M",NN0410,Site.Out,Site.ID,,,site_list,FALSE,"",""
Naivasha  ,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
National Soybean Research Center (Embrapa Soja)-CT,JO0086,Site.Out,Site.ID,,,site_list,FALSE,"",""
National Soybean Research Center (Embrapa Soja)-NT,JO0086,Site.Out,Site.ID,,,site_list,FALSE,"",""
Nepal,SA0001/SA0009,Site.Out,Country,,,countries,FALSE,"",""
Ngetta,CJ0008,Site.Out,Site.ID,,,site_list,FALSE,"",""
Ngetta  ,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Nietvoorbij Research Farm, Lutzville",NN0184.1/NN0184.3,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Nietvoorbij Research Farm, Stellenbosch",LM0148/NN0184.2,Site.Out,Site.ID,,,site_list,FALSE,"",""
Nkoranza-station,NN0559.1,Site.Out,Site.ID,,,site_list,FALSE,"",""
Nyankpala-station,NN0559.1,Site.Out,Site.ID,,,site_list,FALSE,"",""
Pant University of Agriculture & Technology,SA0024,Site.Out,Site.ID,,,site_list,FALSE,"",""
Pant University of Agriculture & Technology-Norman. E. Borlaug Crop Research Centre,SA0052,Site.Out,Site.ID,,,site_list,FALSE,"",""
Patos de Minas (Epamig),JO0079,Site.Out,Site.ID,,,site_list,FALSE,"",""
Pesquisa e Extensão of the Faculdade de Engenharia de Ilha Solteira-Ilha Solteira,NN0435,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Research Farm, Federal Rural University of Pernambuco, Garanhuns",AC0162,Site.Out,Site.ID,,,site_list,FALSE,"",""
Sadore,NN0261,Site.Out,Site.ID,,,site_list,FALSE,"",""
Samaru-Kataf,AC0001,Site.Out,Site.ID,,,site_list,FALSE,"",""
Sandy clay,AC0013,Site.Out,Site.Soil.Texture,Site.Out,Soil.Texture,lookup_levels,FALSE,"",""
Sandy clay loam,AC0006/AC0013,Site.Out,Site.Soil.Texture,Site.Out,Soil.Texture,lookup_levels,FALSE,"",""
Sandy loam,AC0007/AC0013,Site.Out,Site.Soil.Texture,Site.Out,Soil.Texture,lookup_levels,FALSE,"",""
Sanja,JO0101,Site.Out,Site.ID,,,site_list,FALSE,"",""
Saria ARS,HK0002,Site.Out,Site.ID,,,site_list,FALSE,"",""
Saria I,NN0261,Site.Out,Site.ID,,,site_list,FALSE,"",""
Saria II,NN0261,Site.Out,Site.ID,,,site_list,FALSE,"",""
Saria III,NN0261,Site.Out,Site.ID,,,site_list,FALSE,"",""
School of Veterinary and Animal Science of the Federal University of Tocantins,JO0110,Site.Out,Site.ID,,,site_list,FALSE,"",""
September,AC0072,Site.Out,Site.Start.S1,Site.Out,Site.Seasons,lookup_levels,FALSE,"",""
Serere  ,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
State,NN0487,Site.Out,Site.Admin,,,lookup_levels,FALSE,"",""
"Sugarcane Research Center, Guneid-Sudan",CJ0145,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Sugarcane Research Center, Guneid-Sudan, SITE 1",CJ0145,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Sugarcane Research Center, Guneid-Sudan,SITE 2",CJ0145,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Syferkuil Experimental Farm, Limpopo University",CJ0003,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Teaching, Research and Extension Farm of the Faculty of Engineering, São Paulo State University (UNESP), Ilha Solteira Campus",CJ0085,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Teaching, Research, and Extension (Selviria) Sao Pablo state University ",SP0021/AC0163/CJ0101,Site.Out,Site.ID,,,site_list,FALSE,"",""
Tepi National Spices Research Center,JO0119,Site.Out,Site.ID,,,site_list,FALSE,"",""
"The Agronomic Research Institute of Paraná State, Umuarama, Paraná",CJ0112,Site.Out,Site.ID,,,site_list,FALSE,"",""
"The Universidade Federal do Mato Grosso do Sul, Campus of Chapadão do Sul, MS,",CJ0106,Site.Out,Site.ID,,,site_list,FALSE,"",""
"The experimental farm of the Faculty of Agriculture at Moshtohor, Benha University",CJ0104,Site.Out,Site.ID,,,site_list,FALSE,"",""
Tororo,CJ0008,Site.Out,Site.ID,,,site_list,FALSE,"",""
Tygerhoek research farm,AF0003,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Universidade Estadual do Centro-Oeste, Guarapuava",AC0096,Site.Out,Site.ID,,,site_list,FALSE,"",""
Universidade Federal de Santa Maria (UFSM)-Exp 1,CJ0113,Site.Out,Site.ID,,,site_list,FALSE,"",""
Universidade Federal de Santa Maria (UFSM)-Exp 2,CJ0113,Site.Out,Site.ID,,,site_list,FALSE,"",""
University of Abomey-Calavi Experimental Research Site-2010,JO0185,Site.Out,Site.ID,,,site_list,FALSE,"",""
University of Abomey-Calavi Experimental Research Site-2011,JO0185,Site.Out,Site.ID,,,site_list,FALSE,"",""
University of Calabar Teaching & Research Farm,JO0004,Site.Out,Site.ID,,,site_list,FALSE,"",""
"University of Energy, Dormaa Ahenkro Campus",CJ0136,Site.Out,Site.ID,,,site_list,FALSE,"",""
"University of Venda, School of Agriculture experimental farm",NM0074,Site.Out,Site.ID,,,site_list,FALSE,"",""
VPKAS-Experimental Farm,SA0058,Site.Out,Site.ID,,,site_list,FALSE,"",""
Vegetable Research Farm of the National Horticultural Research Institute (NIHORT),CJ0149,Site.Out,Site.ID,,,site_list,FALSE,"",""
Verde Vigor S.A. coffee farm,AC0087,Site.Out,Site.ID,,,site_list,FALSE,"",""
Vi Agroforestry Research Farm Kitale,JO0177,Site.Out,Site.ID,,,site_list,FALSE,"",""
"Vila Maria Rita Agroecological Station, Taperoa",NM0066,Site.Out,Site.ID,,,site_list,FALSE,"",""
Wambugu,NM0131,Site.Out,Site.ID,,,site_list,FALSE,"",""
Wenchi-station,NN0559.1/NN0559.4,Site.Out,Site.ID,,,site_list,FALSE,"",""
june,CJ0074,Site.Out,Site.End.S1,Site.Out,Site.Seasons,lookup_levels,FALSE,"",""
twon,NN0261,Site.Out,Site.Admin,,,lookup_levels,FALSE,"",""
watershed,NN0547,Site.Out,Site.Admin,,,lookup_levels,FALSE,"",""
