B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
AC0017,Zai Pits,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
AC0036,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
AC0089,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
AC0093,Cisterns and Tanks,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
AC0093,Planting Basins,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
AC0108,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
AC0138,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
AC0152,Planting Basins,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
AC0170,Zai Pits,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
CJ0029,Planting Basins,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
CJ0088,Tied Ridges,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
CJ0093,Bunds,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
CJ0096,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
CJ0166,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
CJ0187,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
CJ0188,120n_60pk,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
CJ0188,60n,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
CJ0188,B,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
DM0004,Grass Strips,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
DM0025,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
HK0161.1,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
HK0161.2,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
HK0209,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
HK0253,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
HK0261,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
HK0268,Tied Ridges,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JO0007,Tied Ridges,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JO0015.2,Planting Basins,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JO0015.2,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JO0021,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JO0025,Planting Basins,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JO0048,RFMB,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
JO0048,RFMG,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
JO0048,RFMT,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
JO0057,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
JO0088,Microcatchments,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JO0088,Terraces,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JO0088,Tied Ridges,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JO0106,Zai Pits,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
JO0108,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
JO0120,PB,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JO0145,Tied Ridges,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JO0145,Trench,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JO0145,Zai Pits,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JO0188,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JS0041,Tied Ridges,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JS0216,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
JS0260,CTR-IFP,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
JS0260,CTR-ORP,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
JS0260,OTR-IFP,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
JS0260,OTR-ORP,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
JS0278,CTR-IFP,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
JS0278,CTR-ORP,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
JS0278,OTR-IFP,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
JS0278,OTR-ORP,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
LM0075.1,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
LM0075.2,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NM0018,Microcatchments,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NM0018,PPB20,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NM0018,PPB30,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NM0032,Open Ridges,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NM0032,Tied Ridges,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NM0042,Planting Basins,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NM0083,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NM0096,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NM0116,Bunds,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NM0120,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NM0124,Tied Ridges,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NM0130,Bunds,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0003,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NN0241,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0452,Planting Basins,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0454,Tied Ridges,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0468,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0477,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NN0478,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0479,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NN0483,Tied Ridges,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NN0489,Planting Basins,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0489,Tied Ridges,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0491,Bunds,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0496,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NN0504,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NN0509,Tied Ridges,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0509,Zai Pits,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0526,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0528,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NN0528,contours + infiltration pits,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NN0528,contours + innovations,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NN0529,20 cm deep basins,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NN0529,30 cm deep basins,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NN0529,half moons,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NN0542,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",TRUE,Jabesh,""
NN0547,Bunds,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0547,Fanya Juu or Fanya Chini,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0547,Grass Strips,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0548,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0550,Bunds,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0550,Zai Pits,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0552,Ridge & Furrow,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
NN0558,Planting Basins,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
SP0001,Planting Basins,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
SP0046,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
SP0048,Base,WH.Out,WH.Level.Name,"Number of practice codes do not match number of practices, does the water harvesting practice exist in ERA?",FALSE,"",""
